y,stat_type,class_Acidimicrobiia,class_Alphaproteobacteria,class_Bacteroidia,class_Chlamydiia,class_Cyanobacteriia,class_Fibrobacteria,class_Gammaproteobacteria,class_Marinisomatia,class_Nitrososphaeria,class_Poseidoniia,class_SAR324,class_UBA1144,class_UBA4151,class_UBA796,class_XYA12-FULL-58-9,domain_Archaea,domain_Bacteria,phylum_Actinomycetota,phylum_Bacteroidota,phylum_Chlamydiota,phylum_Cyanobacteriota,phylum_Desulfobacterota_D,phylum_Fibrobacterota,phylum_Marinisomatota,phylum_Myxococcota,phylum_Pseudomonadota,phylum_SAR324,phylum_Thermoplasmatota,phylum_Thermoproteota,prokaryotes
-89.5,mean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-89.5,sd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-88.5,mean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-88.5,sd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-87.5,mean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-87.5,sd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-86.5,mean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-86.5,sd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-85.5,mean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-85.5,sd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-84.5,mean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-84.5,sd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-83.5,mean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-83.5,sd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-82.5,mean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-82.5,sd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-81.5,mean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-81.5,sd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-80.5,mean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-80.5,sd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-79.5,mean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-79.5,sd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-78.5,mean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-78.5,sd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-77.5,mean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-77.5,sd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-76.5,mean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-76.5,sd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-75.5,mean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-75.5,sd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-74.5,mean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-74.5,sd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-73.5,mean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-73.5,sd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-72.5,mean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-72.5,sd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-71.5,mean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-71.5,sd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
